Codigo_Pais_Origen,Codigo_Pais_Destino,1960,1970,1980,1990,2000
NCL,PYF,277,182,99,2465,2934
NCL,GMB,0,0,0,0,0
NCL,GIB,0,0,0,0,0
NCL,GRC,0,0,0,0,0
NCL,GRD,0,0,0,0,0
NCL,ISL,0,0,3,8,0
NCL,IND,3,6,1,84,28
NCL,IRQ,0,0,0,0,0
NCL,JPN,0,0,0,0,2
NCL,JOR,0,0,0,0,0
NCL,KEN,0,0,0,0,0
NCL,KIR,3,2,2,13,0
NCL,KWT,0,0,0,0,0
NCL,LBN,0,0,0,0,0
NCL,LSO,0,0,0,0,4
NCL,LIE,0,0,0,0,0
NCL,MAC,0,0,0,0,0
NCL,MDG,0,0,0,0,0
NCL,MWI,0,0,9,9,9
NCL,MDV,0,0,0,0,0
NCL,FSM,4,4,3,2,2
NCL,MCO,0,2,2,3,3
NCL,MNE,0,0,0,0,0
NCL,MOZ,0,0,0,0,4
NCL,MMR,0,0,0,0,0
NCL,NPL,0,0,0,0,0
NCL,NCL,0,0,0,0,0
NCL,NZL,52,32,79,13,172
NCL,NGA,0,0,0,0,0
NCL,MNP,0,0,0,5,0
NCL,PAK,0,3,2,2,2
NCL,PAN,0,0,0,0,1
NCL,PRY,0,0,0,0,0
NCL,PER,0,0,0,0,0
NCL,PHL,0,0,0,0,0
NCL,POL,0,0,0,1,2
NCL,WSM,9,20,16,0,9
NCL,SRB,0,0,0,0,0
NCL,SVN,0,0,0,0,0
NCL,LKA,0,0,0,0,0
NCL,KNA,0,0,0,0,0
NCL,SWZ,9,18,2,2,13
NCL,TWN,0,0,0,0,0
NCL,TUR,0,0,0,0,2
NCL,TKM,0,0,0,0,0
NCL,TUV,2,0,0,0,0
NCL,UGA,0,0,0,0,0
NCL,ARE,0,0,0,0,0
NCL,VUT,51,59,118,179,77
NCL,YEM,0,0,0,0,0
NZL,DZA,1,0,0,0,0
NZL,ASM,115,103,114,239,231
NZL,AND,0,0,0,0,0
NZL,ARG,28,14,0,24,0
NZL,ARM,0,0,0,0,0
NZL,AUS,45855,60518,174094,256718,350498
NZL,BHR,0,0,0,23,36
NZL,BGD,8,38,42,46,50
NZL,BRB,0,0,0,2,2
NZL,BEL,8,50,54,61,75
NZL,BIH,5,5,9,44,35
NZL,CYM,1,2,6,25,2
NZL,CAF,0,0,0,0,0
NZL,TCD,0,0,0,0,0
NZL,CHI,0,0,0,0,0
NZL,COL,3,8,13,18,42
NZL,CUB,0,0,12,19,55
NZL,DJI,0,0,0,0,0
NZL,SLV,4,2,3,4,2
NZL,ERI,0,0,4,0,0
NZL,FIN,12,52,101,43,95
NZL,FRA,7524,752,352,1978,12694
NZL,GAB,3,4,8,14,21
NZL,GHA,9,0,0,0,0
NZL,GIN,0,0,1,0,0
NZL,GNB,0,0,0,0,0
NZL,ITA,26,886,10,451,430
NZL,JOR,2,1,4,19,63
NZL,KEN,6,13,7,0,0
NZL,KWT,0,0,11,44,41
NZL,LBY,0,0,0,1,1
NZL,MHL,14,17,21,26,170
NZL,NAM,0,0,0,0,0
NZL,NPL,0,14,30,25,28
NZL,NLD,2,375,1036,2984,3551
NZL,NZL,0,0,0,0,0
NZL,NIC,3,5,5,6,7
NZL,NGA,4,2,5,0,0
NZL,NIU,49,102,201,224,200
NZL,PHL,37,22,180,149,196
NZL,ROU,0,0,0,0,0
NZL,SPM,0,1,2,2,2
NZL,WSM,720,765,1067,888,1803
NZL,SEN,0,0,0,0,0
NZL,SVK,0,0,0,2,3
NZL,ZAF,969,1361,1745,1267,1320
NZL,SUR,0,0,0,0,0
NZL,SWE,32,158,277,506,629
NZL,SYR,0,2,1,2,2
NZL,TJK,0,0,0,0,0
NZL,TGO,2,2,2,3,3
NZL,TON,5,18,53,81,40
NZL,TUN,2,0,2,3,3
NZL,TUR,2,4,5,10,289
NZL,TCA,0,0,0,0,0
NZL,ARE,0,3,32,59,101
NZL,WLF,1,4,15,4,12
NZL,YEM,9,11,13,16,19
NIC,ALB,0,0,0,0,0
NIC,AIA,0,0,0,0,0
NIC,AUS,9,31,61,701,690
NIC,BLR,0,0,0,0,0
NIC,BLZ,34,45,53,0,279
NIC,BEN,0,0,0,0,0
NIC,BWA,0,0,0,0,26
NIC,BDI,0,0,0,0,0
NIC,CMR,6,7,6,18,15
NIC,HRV,6,6,12,12,2
NIC,CYP,0,2,3,4,6
NIC,CZE,0,0,0,2,16
NIC,DOM,42,149,250,367,506
NIC,ECU,5,9,14,15,135
NIC,FJI,1,1,1,2,2
NIC,GUF,0,0,0,0,1
NIC,PYF,0,0,0,1,2
NIC,GEO,0,0,0,0,0
NIC,GRC,0,2,3,29,19
NIC,GRL,0,1,2,1,1
NIC,IDN,0,0,0,0,0
NIC,IRL,2,3,5,4,20
NIC,IMN,0,0,0,0,0
NIC,ISR,0,0,0,1,3
NIC,JAM,9,140,78,60,13
NIC,JOR,4,1,0,1,3
NIC,KEN,3,12,54,100,1
NIC,PRK,0,0,0,0,0
NIC,KOR,0,0,1,2,0
NIC,KWT,0,0,0,0,0
NIC,LAO,0,0,0,0,0
NIC,LVA,0,0,0,0,1
NIC,LTU,0,0,0,0,0
NIC,MLT,0,0,0,0,0
NIC,MYT,0,0,0,0,0
NIC,MDA,0,0,0,0,0
NIC,MCO,0,0,2,2,3
NIC,NAM,0,0,1,2,2
NIC,NRU,0,0,0,0,0
NIC,NPL,0,0,0,0,0
NIC,NER,2,3,4,3,0
NIC,NGA,6,8,63,21,36
NIC,NIU,0,0,0,0,0
NIC,PLW,0,0,0,0,0
NIC,PNG,0,0,0,0,0
NIC,PER,94,52,10,142,116
NIC,PRT,0,0,0,0,0
NIC,QAT,0,0,0,0,0
NIC,ROU,0,0,0,0,0
NIC,SVK,0,0,0,0,8
NIC,SVN,2,2,3,4,2
NIC,VCT,0,0,0,1,2
NIC,SWE,0,8,16,29,400
NIC,TWN,0,0,0,0,0
NIC,TGO,3,4,4,4,5
NIC,TTO,23,19,21,17,10
NIC,GBR,17,7077,433,610,0
