Nombre,Region
REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR
CANADÁ,AMÉRICA  DEL  NORTE
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,EUROPA  OCCIDENTAL
ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE
REPÚBLICA  DE  BULGARIA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  DE  COREA,ASIA
REPÚBLICA  DOMINICANA,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  ÁRABE  DE  EGIPTO,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
REPÚBLICA  DE  FILIPINAS,ASIA
FEDERACIÓN  DE  RUSIA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  DE  HAITÍ,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  DE  HONDURAS,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  ISLÁMICA  DE  IRÁN,ASIA
REPÚBLICA  DE  INDONESIA,ASIA
REPÚBLICA  DE  KENYA,ÁFRICA  SUBSAHARIANA
SANTA  LUCÍA,AMÉRICA  CENTRAL  Y  CARIBE
REINO  DE  MARRUECOS,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
REINO  DE  NORUEGA,EUROPA  OCCIDENTAL
REINO  DE  LOS  PAÍSES  BAJOS,EUROPA  OCCIDENTAL
REPÚBLICA  DE  COSTA  RICA,AMÉRICA  CENTRAL  Y  CARIBE
REPÚBLICA  DE  SERBIA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  DE  SINGAPUR,ASIA
HUNGRÍA,EUROPA  CENTRAL  Y  ORIENTAL
REPÚBLICA  SOCIALISTA  DE  VIETNAM,ASIA
REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR
Estados  Unidos  de  América,AMÉRICA  DEL  NORTE
REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL
REPÚBLICA  DE  LA  INDIA,ASIA
REPÚBLICA  ARGENTINA,AMÉRICA  DEL  SUR
REPÚBLICA  DE  ANGOLA,ÁFRICA  SUBSAHARIANA
REINO  DE  ARABIA  SAUDITA,ASIA
REPÚBLICA  DE  ARMENIA,ASIA
EMIRATOS  ÁRABES  UNIDOS,ASIA
REPÚBLICA  DE  FINLANDIA,EUROPA  OCCIDENTAL
REPÚBLICA  FRANCESA,EUROPA  OCCIDENTAL
REPÚBLICA  DE  GUATEMALA,AMÉRICA  CENTRAL  Y  CARIBE
JAMAICA,AMÉRICA  CENTRAL  Y  CARIBE
ESTADO  DE  LIBIA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
